,id,name,review_count,rating,phone,display_phone,price,coord_lat,coord_long,is_bakeries,is_desserts,is_icecream,is_cafe,is_donuts,is_cakeshop,is_bubbletea,is_chocolate,is_cupcakes,is_Other,rand_imp_price,knn_imp_price,is_successful,County
1070,8QaVI3EgwfnflOaZRcwxAg,Clementine Bakery and Provision,6.327936783729195,16.0,1,1,2.0,40.68756,-73.9596,1,0,0,0,0,1,0,0,1,0,2.0,2.0,1,Brooklyn
1071,31miAfAwriXzpEUq5ucNAQ,Hidden Grounds Coffee,5.187385805840755,16.0,1,1,1.0,40.73623,-74.02974,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1,New Jersey
1072,jsjJxd8NzEnl19VM94bbGw,Blue Spoon Coffee,5.288267030694535,16.0,1,1,1.0,40.7143174856901,-74.0067286044359,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1074,W10pbStadrAxA9zqwuD1_Q,Milk Sugar Love,6.040254711277414,20.25,1,1,2.0,40.72784375664465,-74.04396000782955,1,1,1,0,0,0,0,0,0,0,2.0,2.0,1,New Jersey
1076,OPiO2ZuK4M2f55qmuNfWUQ,Whistle & Fizz,5.634789603169249,25.0,1,1,2.0,40.7307100207,-73.994362572,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1077,gcdtcIOgLbeTpKUVAJB-vg,Supex Mochi Donut,4.532599493153256,16.0,0,0,,40.76361832860424,-73.8088889938653,0,0,0,0,1,0,0,0,0,0,1.0,2.0,1,Queens
1078,Xclw3G-84zHLzPgBHkWlXw,Baked Cravings,4.394449154672439,20.25,1,1,1.0,40.7914173832236,-73.9466876909137,1,0,0,0,0,1,0,0,1,0,1.0,1.0,1,Manhattan
1079,94rbbfGsUIER8bysytaWPw,Beard Papa's,5.030437921392435,16.0,1,1,1.0,40.7574069471889,-73.8354960456491,1,1,0,0,0,0,0,0,0,1,1.0,1.0,1,Queens
1080,S-WdvEU1X7J33whXWk1zmw,MUD,7.204892510204673,16.0,1,1,2.0,40.72905,-73.98668,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1084,Q_7J5E-cYCQfHNCkCyMdLA,Baked,6.26530121273771,16.0,1,1,2.0,40.676789,-74.013211,1,0,0,0,0,1,0,0,1,0,2.0,2.0,1,Brooklyn
1086,ZWX1wn-am6seAWkDCbkIxw,Ground Central,5.71042701737487,20.25,1,1,2.0,40.763761,-73.984691,1,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1087,jF2iygogFDhvY-54GQbf7A,Matto Espresso,4.499809670330265,16.0,1,1,1.0,40.75024,-73.97776,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1089,x_YWFkTcxEu1lo8Nlrog5A,Milk & Honey Cafe,7.215239978730097,16.0,1,1,2.0,40.634356735221,-73.9661046515558,0,1,0,0,0,0,0,0,0,0,2.0,2.0,1,Brooklyn
1090,zda6zyX1g8vvzNiHDutzNg,Van Leeuwen Ice Cream - West Village,6.317164686747284,20.25,1,1,2.0,40.7344208102318,-74.0012722836729,0,1,1,0,0,0,0,0,0,0,2.0,2.0,1,Manhattan
1093,pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,7.534762657037537,20.25,1,1,1.0,40.746183,-73.997642,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1097,UgTfFaQ_NAyne5OwLtTpXQ,Bagels & Schmear,6.502790045915623,16.0,1,1,1.0,40.74289899502011,-73.98331665413312,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Manhattan
1098,WifA1usQV51B-ri_zFVGIw,Duck Donuts,5.545177444479562,20.25,1,1,1.0,40.400259,-74.117157,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1,New Jersey
1099,IKB1DhFCLFY98mTt_l6u2A,Stumptown Coffee Roasters,6.171700597410915,16.0,1,1,2.0,40.7328193931365,-73.9979619990999,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1,Manhattan
1100,WZynqsGjqQLc_T8R80_-7g,Yellow Rose,5.1298987149230735,20.25,1,1,,40.732575,-73.98806909999999,0,0,0,0,0,0,0,0,0,1,1.0,2.0,1,Manhattan
1102,w8eAlTI-8pbVecPsWMrEMw,Baked In Brooklyn Bakery Store,5.680172609017068,16.0,1,1,1.0,40.6589279174805,-73.9963531494141,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1103,Az89sPJXLHZZyRT3f8Dkjw,Hungry Ghost,5.267858159063328,16.0,1,1,1.0,40.6860872,-73.9735729,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1,Brooklyn
1104,scJdeBOpASetPOl82NkJFQ,Polka Dot,4.700480365792417,16.0,1,1,1.0,40.7261728595935,-73.9519984757585,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,Brooklyn
