coord_lat,coord_long,name,review_count,is_successful,rating,knn_imp_price,scaled_lat,scaled_long,dbscan_cluster
40.714400045936806,-73.95911000669003,La Bicyclette Bakery,4.430816798843313,1,25.0,2.0,0.8999044704343011,0.4356833953220766,0
40.7033174,-73.9912506,Almondine Bakery,6.0014148779611505,1,16.0,2.0,0.5292540025714806,-0.9287580022315727,1
40.677621,-73.96912,Mille-Feuille Bakery,5.043425116919247,1,20.25,2.0,-0.3301420962213572,0.010736378020730917,2
40.6870199,-73.9901299,Mia's Bakery,6.9957661563048505,1,20.25,2.0,-0.015803200775134158,-0.8811817344417194,3
40.7286629,-73.953337,Cafe Riviera,4.795790545596741,1,16.0,1.0,1.3769145239656515,0.6807606793737521,0
40.7027771713273,-73.98680411986894,Burrow,4.465908118654584,1,20.25,1.0,0.5111864750665195,-0.73999479223998,1
40.714919058367784,-73.96054223851678,Martha's Country Bakery,6.918695219020472,1,20.25,2.0,0.9172624372470546,0.3748818918628581,0
40.71411,-73.960977,Kitsby,5.814130531825066,1,20.25,2.0,0.8902041098171197,0.3564252765774492,0
40.7117670177852,-73.9646924963509,Butler,5.003946305945459,1,20.25,2.0,0.8118448931587906,0.1986939931271456,0
40.720018,-73.96008001689503,Bakeri,6.0112671744041615,1,16.0,1.0,1.087792571690078,0.3945042525788414,0
40.6396972,-74.0159633,Sweet Dynasty,4.795790545596741,1,25.0,1.0,-1.598474071571981,-1.9778684091278829,7
40.684764,-73.994445,The Chocolate Room,6.45833828334479,1,20.25,2.0,-0.09125002053463349,-1.0643675586049486,4
40.729904,-73.959579,Ovenly Greenpoint,5.4638318050256105,1,16.0,2.0,1.4184221475318661,0.41577356101564344,0
40.7103899,-73.9511799,Brooklyn Cupcake,6.025865973825314,1,20.25,2.0,0.7657882606275407,0.772334487930562,6
40.6819599,-73.99594,F Monteleone Bakery & Cafe,5.247024072160486,1,20.25,2.0,-0.18503096263639976,-1.1278337139953412,4
40.7076263427734,-73.9427032470703,Luckybird Cakes,4.605170185988092,1,20.25,2.0,0.6733632400281062,1.1321877133652416,5
40.726086,-73.952308,Peter Pan Donut & Pastry Shop,7.381501894506707,1,20.25,1.0,1.2907321090367074,0.7244440732845455,0
40.72308,-73.95025,Charlotte Patisserie,5.5254529391317835,1,16.0,2.0,1.1901987785713326,0.8118108611061323,0
40.693489,-73.967376,Peck's,5.147494476813453,1,16.0,2.0,0.20055081389998589,0.08477315059636353,9
40.69005,-73.99307,Damascus Bread & Pastry Shop,5.66988092298052,1,20.25,1.0,0.08553613543340645,-1.0059956765573201,3
40.713771,-73.946175,Fortunato Brothers,6.20050917404269,1,16.0,2.0,0.8788665186569582,0.9848038933569032,6
40.7032212028374,-73.9914379239426,Jacques Torres Chocolate,6.391917113392602,1,16.0,2.0,0.5260367633372665,-0.9367103302912344,1
40.687328,-73.990465,One Girl Cookies,5.564520407322694,1,16.0,2.0,-0.005499036065821817,-0.8954074927502811,3
40.6372337341309,-74.0073776245117,Xin Fa Bakery,5.594711379601839,1,16.0,1.0,-1.6808627702773435,-1.61338692774371,7
40.73431,-73.95753,Bakeri,4.875197323201151,1,16.0,2.0,1.5657773883937645,0.5027582783363118,0
40.7186567889571,-73.9573605286252,Northside Bakery,4.718498871295094,1,16.0,1.0,1.042267927774731,0.5099527242276003,0
40.718006,-73.9573633,Martha's Country Bakery,6.093569770045136,1,16.0,2.0,1.0205027976060972,0.5098350730547501,0
40.65093,-73.95234,Cake Ambiance,5.087596335232384,1,16.0,2.0,-1.2228018179286126,0.7230856003930612,7
40.632459,-74.02709,Cheesecake Diva,4.770684624465665,1,20.25,2.0,-1.8405500371657957,-2.450222169114502,7
40.682819,-73.995391,Caputo's Bake Shop,4.948759890378168,1,20.25,1.0,-0.1562990317638839,-1.1045274134537941,4
40.718371,-73.95733,Sweet Chick,7.720905251936779,1,16.0,2.0,1.0327099385307064,0.5112487339071831,0
40.71627819794648,-73.96224236245173,Terms of Endearment,4.653960350157523,1,20.25,2.0,0.9627178026541261,0.30270775819180634,0
40.72191,-73.957873,Le Crocodile,5.43372200355424,1,20.25,2.0,1.1510690391685678,0.48819714703271405,0
40.70383,-73.98691,Usagi NY,4.442651256490317,1,20.25,2.0,0.5463975106209175,-0.7444896449828102,1
40.63594,-74.01303,Prince Tea House,6.311734809152915,1,16.0,2.0,-1.7241307013873062,-1.8533431425020392,7
40.711191,-73.961424,Pies-n-Thighs,8.069968149059841,1,16.0,2.0,0.7925804266406844,0.33744910837743275,0
40.714181240175115,-73.96532809508915,Sunday in Brooklyn,7.147559271189454,1,16.0,2.0,0.8925866820285232,0.171711378888312,0
40.717317,-73.95654,Woops!,5.342334251964811,1,16.0,2.0,0.9974597288466859,0.5447860334107975,0
40.671932,-73.9836569,L'albero Dei Gelati,5.68697535633982,1,20.25,2.0,-0.5204062735394073,-0.6063881398996044,8
40.7142079238412,-73.9617848396301,Black Brick,5.849324779946859,1,16.0,1.0,0.8934790964731714,0.3221306441398737,0
40.7143691,-73.9615536,Taiyaki NYC - Williamsburg ,5.676753802268282,1,20.25,1.0,0.8988695076626559,0.33194729316734406,0
40.70077577888819,-73.98836356287899,Bluestone Lane DUMBO Café,5.568344503761097,1,16.0,2.0,0.44425146260094606,-0.8061967001985464,1
40.67329,-73.98307,Simple Loaf Bakehouse,4.5217885770490405,1,20.25,2.0,-0.47498902045479385,-0.5814728980276319,8
40.633719,-74.026553,Pig Pig Cafe,4.394449154672439,1,25.0,1.0,-1.798410317808972,-2.4274252959077143,7
